seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
3,cycle_knn,partition2,shape_digit,digit_color,0.119900,0.931035,0.240200,0.154343,0.270500,0.159645
3,mutual_knn,partition2,shape_digit,digit_color,0.016830,0.337759,0.034880,0.019173,0.046250,0.023884
3,lcs_knn,partition2,shape_digit,digit_color,0.036600,0.662931,0.070300,0.045480,0.096250,0.053013
3,cka,partition2,shape_digit,digit_color,0.307514,0.480101,0.203254,0.406941,0.470905,0.663351
3,unbiased_cka,partition2,shape_digit,digit_color,0.306807,0.457450,0.202647,0.405159,0.462777,0.663171
3,cknna,partition2,shape_digit,digit_color,0.013585,0.400631,0.030754,0.016817,0.039453,0.020853
3,svcca,partition2,shape_digit,digit_color,0.382372,0.520614,0.370926,0.496104,0.506523,0.492264
3,edit_distance_knn,partition2,shape_digit,digit_color,0.750560,0.785517,0.750970,0.750660,0.751775,0.750665
3,cycle_knn,partition2,shape_color,digit_color,0.095600,0.899138,0.132400,0.106864,0.671500,0.116164
3,mutual_knn,partition2,shape_color,digit_color,0.012780,0.312845,0.017210,0.011709,0.176150,0.015020
3,lcs_knn,partition2,shape_color,digit_color,0.029500,0.604310,0.038700,0.026600,0.314500,0.033715
3,cka,partition2,shape_color,digit_color,0.187251,0.876789,0.111450,0.171417,0.724282,0.493890
3,unbiased_cka,partition2,shape_color,digit_color,0.186677,0.830936,0.111163,0.169107,0.674547,0.493702
3,cknna,partition2,shape_color,digit_color,0.010108,0.355106,0.014394,0.008986,0.161007,0.012171
3,svcca,partition2,shape_color,digit_color,0.352201,0.506088,0.275513,0.244363,0.659162,0.367949
3,edit_distance_knn,partition2,shape_color,digit_color,0.750490,0.777500,0.750470,0.750312,0.756350,0.750432
3,cycle_knn,partition3,all0,all1,0.182200,0.977586,0.314600,0.836635,0.747000,0.218424
3,mutual_knn,partition3,all0,all1,0.028740,0.490431,0.051320,0.617127,0.228575,0.039011
3,lcs_knn,partition3,all0,all1,0.065300,0.888793,0.105200,0.882580,0.420250,0.080590
3,cka,partition3,all0,all1,0.452887,0.813703,0.323798,0.642923,0.804572,0.559969
3,unbiased_cka,partition3,all0,all1,0.451974,0.707251,0.322641,0.640256,0.763415,0.559804
3,cknna,partition3,all0,all1,0.023002,0.560436,0.046899,0.522173,0.224274,0.035323
3,svcca,partition3,all0,all1,0.503291,0.591143,0.410402,0.239231,0.749017,0.538218
3,edit_distance_knn,partition3,all0,all1,0.750860,0.799655,0.751590,0.783105,0.760250,0.751363
4,cycle_knn,partition1,shape,digit,0.041300,0.722414,0.112300,0.018415,0.143500,0.054501
4,mutual_knn,partition1,shape,digit,0.004650,0.165000,0.014710,0.001883,0.018025,0.006306
4,lcs_knn,partition1,shape,digit,0.012300,0.337931,0.030600,0.004464,0.043750,0.016183
4,cka,partition1,shape,digit,0.095109,0.166548,0.078760,0.000404,0.435378,0.138939
4,unbiased_cka,partition1,shape,digit,0.094433,0.162228,0.078379,0.000019,0.428183,0.138677
4,cknna,partition1,shape,digit,0.003433,0.198906,0.012434,0.001588,0.012540,0.004917
4,svcca,partition1,shape,digit,0.174324,0.389131,0.234614,0.028970,0.368450,0.219058
4,edit_distance_knn,partition1,shape,digit,0.750130,0.765948,0.750320,0.750070,0.750425,0.750186
4,cycle_knn,partition2,shape_digit,shape_color,0.063400,0.879310,0.168000,0.152576,0.227250,0.087472
4,mutual_knn,partition2,shape_digit,shape_color,0.007900,0.288190,0.023540,0.018866,0.032350,0.010919
4,lcs_knn,partition2,shape_digit,shape_color,0.017500,0.563793,0.054200,0.046782,0.070000,0.024647
4,cka,partition2,shape_digit,shape_color,0.189171,0.442613,0.161713,0.437510,0.478770,0.227971
4,unbiased_cka,partition2,shape_digit,shape_color,0.188465,0.428320,0.161226,0.436020,0.456511,0.227552
4,cknna,partition2,shape_digit,shape_color,0.005826,0.351225,0.020389,0.016037,0.026071,0.009165
4,svcca,partition2,shape_digit,shape_color,0.273556,0.470556,0.294802,0.554050,0.400764,0.331830
4,edit_distance_knn,partition2,shape_digit,shape_color,0.750220,0.775345,0.750730,0.750660,0.750800,0.750321
4,cycle_knn,partition2,shape_digit,digit_color,0.105100,0.934483,0.269200,0.148949,0.309750,0.142857
4,mutual_knn,partition2,shape_digit,digit_color,0.014550,0.356724,0.040390,0.018699,0.050775,0.020638
4,lcs_knn,partition2,shape_digit,digit_color,0.032100,0.661207,0.089100,0.046038,0.109500,0.045061
4,cka,partition2,shape_digit,digit_color,0.228007,0.486066,0.305856,0.398105,0.529561,0.402854
4,unbiased_cka,partition2,shape_digit,digit_color,0.227154,0.360631,0.305036,0.396285,0.488663,0.402507
4,cknna,partition2,shape_digit,digit_color,0.012655,0.417295,0.034685,0.016235,0.043078,0.017814
4,svcca,partition2,shape_digit,digit_color,0.396589,0.519120,0.397675,0.485567,0.497449,0.493885
4,edit_distance_knn,partition2,shape_digit,digit_color,0.750390,0.783362,0.751260,0.750614,0.751300,0.750716
4,cycle_knn,partition2,shape_color,digit_color,0.097500,0.896552,0.167100,0.098261,0.558250,0.156576
4,mutual_knn,partition2,shape_color,digit_color,0.013460,0.306207,0.022990,0.010747,0.123675,0.020787
4,lcs_knn,partition2,shape_color,digit_color,0.030600,0.552586,0.050200,0.025484,0.219250,0.046363
4,cka,partition2,shape_color,digit_color,0.392601,0.544539,0.197254,0.166758,0.608998,0.647380
4,unbiased_cka,partition2,shape_color,digit_color,0.391974,0.440627,0.196709,0.164416,0.489690,0.647208
4,cknna,partition2,shape_color,digit_color,0.011241,0.351966,0.019505,0.008479,0.117248,0.017983
4,svcca,partition2,shape_color,digit_color,0.328870,0.501833,0.310668,0.206716,0.653374,0.406763
4,edit_distance_knn,partition2,shape_color,digit_color,0.750410,0.775690,0.750560,0.750293,0.753975,0.750563
4,cycle_knn,partition3,all0,all1,0.216000,0.971552,0.348100,0.837937,0.735500,0.226888
4,mutual_knn,partition3,all0,all1,0.038610,0.478534,0.057670,0.623707,0.228550,0.041555
4,lcs_knn,partition3,all0,all1,0.086600,0.843103,0.120500,0.885649,0.410750,0.086403
4,cka,partition3,all0,all1,0.612580,0.821096,0.276967,0.647996,0.813108,0.699869
4,unbiased_cka,partition3,all0,all1,0.611852,0.723786,0.275938,0.645350,0.774399,0.699576
4,cknna,partition3,all0,all1,0.031109,0.544379,0.052647,0.525372,0.217112,0.038801
4,svcca,partition3,all0,all1,0.594376,0.595074,0.423265,0.212341,0.728654,0.570449
4,edit_distance_knn,partition3,all0,all1,0.751400,0.794655,0.751890,0.783584,0.759725,0.751311
5,cycle_knn,partition1,shape,digit,0.033700,0.762069,0.112100,0.019113,0.152500,0.037853
5,mutual_knn,partition1,shape,digit,0.003750,0.178448,0.013750,0.001972,0.020150,0.004325
5,lcs_knn,partition1,shape,digit,0.008000,0.398276,0.030800,0.004836,0.047750,0.009905
5,cka,partition1,shape,digit,0.113304,0.376597,0.109504,0.000450,0.458671,0.287789
5,unbiased_cka,partition1,shape,digit,0.112741,0.373268,0.109070,0.000066,0.451482,0.287637
5,cknna,partition1,shape,digit,0.002982,0.215334,0.011029,0.001685,0.015054,0.003359
5,svcca,partition1,shape,digit,0.175346,0.378222,0.261307,0.030577,0.370046,0.210299
5,edit_distance_knn,partition1,shape,digit,0.750080,0.771121,0.750390,0.750088,0.750575,0.750112
5,cycle_knn,partition2,shape_digit,shape_color,0.064400,0.847414,0.118600,0.171270,0.189250,0.066267
5,mutual_knn,partition2,shape_digit,shape_color,0.007840,0.252845,0.014740,0.021322,0.026225,0.007961
5,lcs_knn,partition2,shape_digit,shape_color,0.016800,0.552586,0.034200,0.051665,0.061250,0.016695
5,cka,partition2,shape_digit,shape_color,0.199794,0.374011,0.140358,0.475264,0.221685,0.271669
5,unbiased_cka,partition2,shape_digit,shape_color,0.199135,0.357249,0.139923,0.473900,0.212432,0.271473
5,cknna,partition2,shape_digit,shape_color,0.005876,0.318650,0.012368,0.017905,0.021725,0.006427
5,svcca,partition2,shape_digit,shape_color,0.293437,0.465650,0.270325,0.590309,0.393050,0.333318
5,edit_distance_knn,partition2,shape_digit,shape_color,0.750220,0.777759,0.750480,0.750693,0.750900,0.750228
5,cycle_knn,partition2,shape_digit,digit_color,0.081700,0.901724,0.240000,0.134068,0.268500,0.098493
5,mutual_knn,partition2,shape_digit,digit_color,0.011100,0.295431,0.034430,0.016588,0.043750,0.014811
5,lcs_knn,partition2,shape_digit,digit_color,0.025400,0.565517,0.074700,0.040830,0.098750,0.031483
5,cka,partition2,shape_digit,digit_color,0.163870,0.388463,0.288600,0.350676,0.494252,0.303634
5,unbiased_cka,partition2,shape_digit,digit_color,0.162918,0.374107,0.287790,0.348703,0.456107,0.303176
5,cknna,partition2,shape_digit,digit_color,0.009398,0.355813,0.031320,0.013500,0.036274,0.012782
5,svcca,partition2,shape_digit,digit_color,0.330764,0.501923,0.378798,0.456231,0.445415,0.459344
5,edit_distance_knn,partition2,shape_digit,digit_color,0.750420,0.779483,0.751220,0.750651,0.751325,0.750442
5,cycle_knn,partition2,shape_color,digit_color,0.136900,0.873276,0.128100,0.102074,0.678000,0.179781
5,mutual_knn,partition2,shape_color,digit_color,0.018720,0.276983,0.015630,0.011017,0.170475,0.024461
5,lcs_knn,partition2,shape_color,digit_color,0.043000,0.557759,0.034800,0.024693,0.309750,0.054362
5,cka,partition2,shape_color,digit_color,0.307194,0.840582,0.145714,0.182956,0.628665,0.576101
5,unbiased_cka,partition2,shape_color,digit_color,0.306705,0.789072,0.144896,0.180654,0.575057,0.576006
5,cknna,partition2,shape_color,digit_color,0.015637,0.325597,0.013227,0.008254,0.165497,0.021326
5,svcca,partition2,shape_color,digit_color,0.364005,0.473222,0.302234,0.213458,0.662862,0.393553
5,edit_distance_knn,partition2,shape_color,digit_color,0.750460,0.778276,0.750500,0.750195,0.755900,0.750730
5,cycle_knn,partition3,all0,all1,0.215800,0.963793,0.313500,0.833333,0.773000,0.279576
5,mutual_knn,partition3,all0,all1,0.039050,0.488362,0.050770,0.614890,0.252325,0.051209
